,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,커피빈,코리아대학로대명거리점,음식,커피점/카페,서울특별시,종로구,혜화동,37.5831492497775,127.000170846364
1,요거프레소,쌍문점,음식,커피점/카페,서울특별시,도봉구,쌍문2동,37.6587277238356,127.034745665547
2,우성커피숍,,음식,커피점/카페,서울특별시,양천구,신월4동,37.5220552604826,126.842935491813
3,버블베어,,음식,커피점/카페,서울특별시,강서구,방화3동,37.5809414781492,126.813358391338
4,로얄커피숍,,음식,커피점/카페,서울특별시,강동구,성내2동,37.5349011022249,127.124192744813
5,띵낑커피,,음식,커피점/카페,서울특별시,광진구,화양동,37.542181614837,127.068840228963
6,커피빈코리아낙성대역점,코리아낙성대역점,음식,커피점/카페,서울특별시,관악구,행운동,37.4781056688261,126.961593240638
7,000간,,음식,커피점/카페,서울특별시,종로구,창신2동,37.5790191702951,127.009396492102
8,탐앤탐스,막스앤스펜서점,음식,커피점/카페,서울특별시,강남구,신사동,37.5255543279368,127.026033203671
9,카페그리다,,음식,커피점/카페,서울특별시,강남구,삼성2동,37.5067671774525,127.052597123802
10,노란고무줄,,음식,커피점/카페,서울특별시,강남구,대치4동,37.5028991701185,127.050044694901
11,커피랩,,음식,커피점/카페,서울특별시,마포구,서교동,37.5549642287037,126.929222625466
12,커핀그루나루신천점,신천점,음식,커피점/카페,서울특별시,송파구,잠실본동,37.5109879797319,127.082767481921
13,스테이보드게임카페,,음식,커피점/카페,서울특별시,관악구,조원동,37.4814460460802,126.901531113799
14,홈플러스어라운드홈,강서점,음식,커피점/카페,서울특별시,강서구,등촌1동,37.5584556189768,126.854800245129
15,싱,,음식,커피점/카페,서울특별시,송파구,가락본동,37.4948815412923,127.120080194832
16,할리스커피남부터미널,,음식,커피점/카페,서울특별시,서초구,서초1동,37.4867236974339,127.015738833106
17,홈스테드,커피타워팰리스점,음식,커피점/카페,서울특별시,강남구,도곡2동,37.4887418448763,127.053197983987
18,이디야커피,신길역점,음식,커피점/카페,서울특별시,영등포구,신길1동,37.5151175359347,126.918061930143
19,카페비원,,음식,커피점/카페,서울특별시,성북구,안암동,37.5874861262858,127.029665321878
20,다나인터내셔널,,음식,커피점/카페,서울특별시,송파구,가락2동,37.4967973016795,127.131785329842
21,리버스로스터,,음식,커피점/카페,서울특별시,양천구,신월3동,37.5354372768401,126.82394628602
22,엔제리너스,커피여의도리버타워점,음식,커피점/카페,서울특별시,영등포구,여의동,37.519403747596,126.938611257408
23,극단배우다방,,음식,커피점/카페,서울특별시,종로구,이화동,37.5848042101306,127.005153200761
24,가예커피,,음식,커피점/카페,서울특별시,구로구,구로4동,37.4913776314645,126.894024072321
25,커피빈,코리아청담에스점,음식,커피점/카페,서울특별시,강남구,청담동,37.5252495612624,127.047215839761
26,커피볶는성군,,음식,커피점/카페,서울특별시,광진구,자양3동,37.5326958040876,127.069127895251
27,커피빈,코리아강남역랭기지타워점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4965196043765,127.030074547889
28,커피빈,코리아청담성당점,음식,커피점/카페,서울특별시,강남구,청담동,37.5199018862561,127.050021491746
29,소풍가는날,,음식,커피점/카페,서울특별시,강서구,염창동,37.551879173173,126.867994948895
30,이디야커피,라이프점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5195441715436,126.939197515335
31,스타벅스,동숭로아트점,음식,커피점/카페,서울특별시,종로구,이화동,37.5829644184897,127.00388696535
32,쎄븐스퀘어,,음식,커피점/카페,서울특별시,중구,소공동,37.5646508705575,126.978073817792
33,한앤둘,,음식,커피점/카페,서울특별시,송파구,잠실2동,37.5161878271983,127.075927917189
34,하루에,,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5579467756907,126.946259180898
35,커피랑,,음식,커피점/카페,서울특별시,노원구,상계3.4동,37.6681113394296,127.079182298616
36,오가다,,음식,커피점/카페,서울특별시,강서구,공항동,37.5477387116096,126.81426973535
37,오엘커피,,음식,커피점/카페,서울특별시,마포구,서교동,37.551943742567,126.920098807327
38,paulbassett,,음식,커피점/카페,서울특별시,용산구,한남동,37.5333347823459,127.008156795201
39,애플블러썸커피,,음식,커피점/카페,서울특별시,중구,신당5동,37.5649708202765,127.023324282632
40,노란손수건2호점,2호점,음식,커피점/카페,서울특별시,서대문구,연희동,37.5665631437312,126.925536232164
41,B.B.Q카페은평뉴타운,구파발점,음식,커피점/카페,서울특별시,은평구,진관동,37.6315031143934,126.927796801754
42,강남푸드마켓미소,대치점,음식,커피점/카페,서울특별시,강남구,대치2동,37.5026252450057,127.059729520593
43,언약커피하우스,,음식,커피점/카페,서울특별시,강남구,논현1동,37.510850793909,127.021869480819
44,파스쿠찌동대문APM점,동대문APM점,음식,커피점/카페,서울특별시,중구,광희동,37.5674746566524,127.008066512261
45,회화나무로스터스,,음식,커피점/카페,서울특별시,서초구,양재1동,37.4656559755804,127.022130773762
46,가비애,,음식,커피점/카페,서울특별시,마포구,서교동,37.5558259024562,126.927863463335
47,귀젤커피,,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5701399543819,126.991899950636
48,차칸커피,,음식,커피점/카페,서울특별시,중랑구,신내2동,37.6169636426179,127.091344647363
49,훈고링고브레드,,음식,커피점/카페,서울특별시,마포구,성산1동,37.558385762908,126.913180907467
50,커피팡,,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5729539736493,126.992224277182
51,공차압구정로데오점,압구정로데오점,음식,커피점/카페,서울특별시,강남구,압구정동,37.5275407670836,127.03863350645
52,카페티라수,,음식,커피점/카페,서울특별시,강서구,염창동,37.5502387818799,126.877378933564
53,CNNCAFE한양대역점,한양대역점,음식,커피점/카페,서울특별시,성동구,사근동,37.5555674578099,127.043570382316
54,학다방,,음식,커피점/카페,서울특별시,성동구,행당1동,37.5607498885863,127.035988478502
55,The드림,,음식,커피점/카페,서울특별시,금천구,독산2동,37.4638556428949,126.901325060638
56,이디야커피양재AT점,양재AT점,음식,커피점/카페,서울특별시,서초구,양재2동,37.4690754974886,127.040264535602
57,Anscoffee,,음식,커피점/카페,서울특별시,종로구,평창동,37.6138584692012,126.959731055483
58,이디야커피,시흥점,음식,커피점/카페,서울특별시,금천구,시흥2동,37.4490661391638,126.913645616749
59,스타벅스남부터미널2점,남부터미널2점,음식,커피점/카페,서울특별시,서초구,서초3동,37.4843861241449,127.014197798445
60,킹콩쥬스엔커피,신풍역점,음식,커피점/카페,서울특별시,영등포구,신길6동,37.4996857598343,126.910560301817
61,이디아커피,,음식,커피점/카페,서울특별시,강동구,성내1동,37.5290123623274,127.122326901135
62,스타벅스,현대목동점,음식,커피점/카페,서울특별시,양천구,목1동,37.5271465422093,126.874681763736
63,금산인삼집,,음식,커피점/카페,서울특별시,동작구,사당1동,37.4788780954206,126.976800881159
